Date,Time,Time Zone,Gross Sales,Discounts,Service Charges,Net Sales,Gift Card Sales,Tax,Tip,Partial Refunds,Total Collected,Source,Card,Card Entry Methods,Cash,Square Gift Card,Other Tender,Other Tender Type,Other Tender Note,Fees,Net Total,Transaction ID,Payment ID,Card Brand,PAN Suffix,Device Name,Staff Name,Staff ID,Details,Description,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID,Initial Fees,Adjustment Fees,Device Nickname,Fee Plan,Number of Adjustments,Adjustment Date(s),Third Party Fees,Deposit ID,Deposit Date,Deposit Details,Fee Percentage Rate,Fee Fixed Rate,Refund Reason,Discount Name,Transaction Status,Cash App,Order Reference ID,Fulfillment Note
2023-05-31,19:35:00,Eastern Time (US & Canada),$120.00,$0.00,$0.00,$120.00,$0.00,$0.00,$0.00,$0.00,$120.00,Virtual Terminal,$120.00,Keyed,$0.00,$0.00,$0.00,"","",-$3.29,$116.71,yO8tbIbPtV3HtkbC2xZXpy0TYJaZY,tAbdFmZnwNuAsNOQd2frDJ3AYbFZY,American Express,1019,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/yO8tbIbPtV3HtkbC2xZXpy0TYJaZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INVOICE 10474,Payment,Prince Peter Collection,"",Z4SQHQR7TSECMRBMMQWPVZFS7C,STELLA GRAY LUXURY BOUTIQUE,"",-$3.29,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-31,19:34:55,Eastern Time (US & Canada),$314.00,$0.00,$0.00,$314.00,$0.00,$0.00,$0.00,$0.00,$314.00,Virtual Terminal,$314.00,Keyed,$0.00,$0.00,$0.00,"","",-$8.38,$305.62,meDXtQOUwzGssjAUAhVgijlwFQZZY,DrDL6CCoYMkHik13SHwapO1a4WZZY,Visa,8832,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/meDXtQOUwzGssjAUAhVgijlwFQZZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 10561,Payment,Prince Peter Collection,"",J3D67XHBXMZ9KD06D3AWZGSAH8,RUNWAY BOUTIQUE,"",-$8.38,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-31,19:27:39,Eastern Time (US & Canada),$540.00,$0.00,$0.00,$540.00,$0.00,$0.00,$0.00,$0.00,$540.00,Virtual Terminal,$540.00,Keyed,$0.00,$0.00,$0.00,"","",-$14.30,$525.70,KuOjSlVAuC0VzN8U7degJ9t9C2bZY,fBPXyuBL24xnakXiI6jo5XvC4LEZY,American Express,1000,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/KuOjSlVAuC0VzN8U7degJ9t9C2bZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INVOICE 10444,Payment,Prince Peter Collection,"",06E6R6Q9F4ZRV7VM71K5MSC12C,CLOTHES RAK,"",-$14.30,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-31,19:11:28,Eastern Time (US & Canada),$120.00,$0.00,$0.00,$120.00,$0.00,$0.00,$0.00,$0.00,$120.00,Virtual Terminal,$120.00,Keyed,$0.00,$0.00,$0.00,"","",-$3.29,$116.71,M5jTAOcwCz64tZhp2wytrnC7a6dZY,TzfPpCpyi2XLRVjmVQPt9hLaCUcZY,MasterCard,0669,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/M5jTAOcwCz64tZhp2wytrnC7a6dZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 10574,Payment,Prince Peter Collection,"",XW35P54MMGRNZBN6Y9X4DAD9QC,SAFFRON,"",-$3.29,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-31,19:02:40,Eastern Time (US & Canada),$260.00,$0.00,$0.00,$260.00,$0.00,$0.00,$0.00,$0.00,$260.00,Virtual Terminal,$260.00,Keyed,$0.00,$0.00,$0.00,"","",-$6.96,$253.04,WUqfFDYFw7BUrFCMGeJub1lkLrIZY,LpEb3DzwYjRwWmqAYVK8L7rGiNUZY,American Express,1001,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/WUqfFDYFw7BUrFCMGeJub1lkLrIZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 10404,Payment,Prince Peter Collection,"",NHVXHJ9B44SR76V520X8R65A38,POSH,"",-$6.96,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-31,18:30:54,Eastern Time (US & Canada),$500.00,$0.00,$0.00,$500.00,$0.00,$0.00,$0.00,$0.00,$500.00,Virtual Terminal,$500.00,Keyed,$0.00,$0.00,$0.00,"","",-$13.25,$486.75,CiQyGmQVPiuuSo6sDsAJjvFYTBRZY,NmoUWvbtX6Sdlfnyqs68Z443EYAZY,MasterCard,5336,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/CiQyGmQVPiuuSo6sDsAJjvFYTBRZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 10568,Payment,Prince Peter Collection,"",JRFAB7HE84VCHE9CBHTA8TN64C,VALENTINA IL,"",-$13.25,$0.00,,Blended Rate,0,"",$0.00,3ZYPGEKT804R8YXBK5BY12E3434D,2023-05-31,https://squareup.com/dashboard/sales/deposits/3ZYPGEKT804R8YXBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-30,19:59:57,Eastern Time (US & Canada),$147.00,$0.00,$0.00,$147.00,$0.00,$0.00,$0.00,$0.00,$147.00,Virtual Terminal,$147.00,Keyed,$0.00,$0.00,$0.00,"","",-$4.00,$143.00,8nifT9VEIks4MwhCQ82dMTMdKmNZY,5SfamtWXWEbU8h7rd6iJbhV5EiRZY,Visa,4300,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/8nifT9VEIks4MwhCQ82dMTMdKmNZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 1012,Payment,Prince Peter Collection,"",D19ZATSX3KRS68DR6GG7XNJ8MC,CLOVER TWEEN,"",-$4.00,$0.00,,Blended Rate,0,"",$0.00,3ZKTWTCSZZBM8YVBK5BY12E3434D,2023-05-30,https://squareup.com/dashboard/sales/deposits/3ZKTWTCSZZBM8YVBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-30,18:53:41,Eastern Time (US & Canada),"$2,676.20",$0.00,$0.00,"$2,676.20",$0.00,$0.00,$0.00,$0.00,"$2,676.20",Virtual Terminal,"$2,676.20",Keyed,$0.00,$0.00,$0.00,"","",-$70.27,"$2,605.93",eAuJgEC1i18CobGSMWV9KdinHdcZY,rdUAiZw1aXDlh638X0NKtzMhFlIZY,Visa,0423,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/eAuJgEC1i18CobGSMWV9KdinHdcZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 10134,Payment,Prince Peter Collection,"",WMMJTG1BK8YM16WZKCZVK2F4PC,DENNYS,"",-$70.27,$0.00,,Blended Rate,0,"",$0.00,3ZKTWTCSZZBM8YVBK5BY12E3434D,2023-05-30,https://squareup.com/dashboard/sales/deposits/3ZKTWTCSZZBM8YVBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-30,18:45:27,Eastern Time (US & Canada),"$3,426.00",$0.00,$0.00,"$3,426.00",$0.00,$0.00,$0.00,$0.00,"$3,426.00",Virtual Terminal,"$3,426.00",Keyed,$0.00,$0.00,$0.00,"","",-$89.91,"$3,336.09",gbVMh1exlO0P39eBYpoK7dzJg1BZY,BiRG3mcSEJEmxgCPuE4sdcolrDgZY,Visa,0423,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/gbVMh1exlO0P39eBYpoK7dzJg1BZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INV 1006,Payment,Prince Peter Collection,"",K6CVXNHEE8R8D73WFV16CYZRZC,DENNYS,"",-$89.91,$0.00,,Blended Rate,0,"",$0.00,3ZKTWTCSZZBM8YVBK5BY12E3434D,2023-05-30,https://squareup.com/dashboard/sales/deposits/3ZKTWTCSZZBM8YVBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
2023-05-30,17:32:23,Eastern Time (US & Canada),$440.00,$0.00,$0.00,$440.00,$0.00,$0.00,$0.00,$0.00,$440.00,Virtual Terminal,$440.00,Keyed,$0.00,$0.00,$0.00,"","",-$11.68,$428.32,iykwGRmGZw1CFc1chQfCfYozrtNZY,F8XtGbGooQ3oPehKukgdPkKFLIcZY,Visa,1980,,Ram Narayanan,,https://squareup.com/dashboard/sales/transactions/iykwGRmGZw1CFc1chQfCfYozrtNZY/by-unit/M2M1D5VSHW54Y,Custom Amount - INVOICE 10566,Payment,Prince Peter Collection,"",9GZ01ZX7G33TVSJ7WSMCV0WVC8,TOBI,"",-$11.68,$0.00,,Blended Rate,0,"",$0.00,3ZKTWTCSZZBM8YVBK5BY12E3434D,2023-05-30,https://squareup.com/dashboard/sales/deposits/3ZKTWTCSZZBM8YVBK5BY12E3434D/by-unit/M2M1D5VSHW54Y,2.62,$0.15,"","",Complete,$0.00,,""
